season,book,rule,tickets,staked,net,roi,ci_lo,ci_hi,singles_roi,singles_hit,moon_roi,moon_cash,median_leg,pct_legs_over500
2025,same,new_w50_cap500,381,525.0,-45.3,-0.08635761904761904,-0.373553992830379,0.22701952815048687,0.03649789029535866,0.2320675105485232,-0.1874574652777777,0.11805555555555555,390,0.0
2025,same,new_w50_cap400,365,509.0,136.6,0.2684312377210216,-0.15339917652357826,0.7580193707844888,0.005203619909502248,0.2579185520361991,0.47042187499999993,0.2222222222222222,320,0.0
2025,same,new_w50_cap300,341,485.0,47.4,0.09776250000000006,-0.2627721875,0.5402917875,0.10431472081218275,0.3350253807106599,0.09328059895833339,0.2013888888888889,235,0.0
2025,same,new_w100_cap500,374,518.0,-129.9,-0.2508011583011583,-0.3869210887734816,-0.11927858689400861,0.03804347826086955,0.20434782608695654,-0.4814756944444445,0.08333333333333333,450,0.0
2025,same,new_w0_cap500,396,532.0,-40.0,-0.07522697368421055,-0.2637858179701399,0.09219715892968613,-0.008846153846153842,0.27307692307692305,-0.13867922794117646,0.20588235294117646,295,0.0
2025,rich,old_rawEV_nocap,389,533.0,-161.4,-0.3027392120075047,-0.5234594752934876,-0.0683277192468187,-0.048571428571428564,0.1469387755102041,-0.5189583333333334,0.09027777777777778,770,0.8227474150664698
2025,rich,mkt50_nocap,399,543.0,17.3,0.03177198434622466,-0.1818206638246546,0.2504439620175306,-0.06176470588235294,0.3764705882352941,0.11459092881944444,0.4305555555555556,140,0.0
2025,rich,new_w50_nocap,400,544.0,-91.2,-0.1677251838235294,-0.42524074074074075,0.11338676703157087,-0.08085937500000001,0.15625,-0.24493923611111107,0.09027777777777778,660,0.7078488372093024
2025,rich,new_w50_cap800,390,534.0,-8.7,-0.016249999999999976,-0.18897331959970406,0.1587932190463797,0.2186991869918699,0.21544715447154472,-0.21693576388888883,0.125,500,0.49557522123893805
2025,rich,new_w50_cap500,367,511.0,154.4,0.30215019569471613,-0.16608170490186258,0.882647580830524,0.021748878923766802,0.24663677130044842,0.5192664930555555,0.16666666666666666,350,0.0
2025,rich,new_w50_cap400,358,502.0,161.5,0.32170567729083666,-0.06977985945978904,0.7522914884373942,0.14883177570093456,0.3130841121495327,0.4501605902777777,0.25,280,0.0
2025,rich,new_w50_cap300,338,482.0,93.6,0.1941438018672199,-0.11955432471829137,0.5511136959876543,0.05154639175257734,0.31958762886597936,0.29019900173611113,0.3125,220,0.0
2025,rich,new_w100_cap500,369,513.0,132.5,0.2583287037037037,-0.11677344654922778,0.697627816347364,0.02644444444444446,0.22666666666666666,0.43948828125,0.14583333333333334,380,0.0
2025,rich,new_w0_cap500,388,532.0,44.4,0.08338698308270677,-0.2820233864915572,0.5516198145224901,0.027663934426229487,0.2786885245901639,0.13059678819444442,0.20833333333333334,270,0.0
2025,sharp,old_rawEV_nocap,388,532.0,-421.8,-0.7928571428571429,-0.8964559567684567,-0.6903519722363298,-0.5655737704918032,0.05327868852459016,-0.9854166666666667,0.006944444444444444,1000,0.908284023668639
2025,sharp,mkt50_nocap,388,532.0,-82.8,-0.15559539473684209,-0.2950407049823162,-0.012929422938853683,-0.22110655737704918,0.3073770491803279,-0.10009288194444446,0.3333333333333333,145,0.0
2025,sharp,new_w50_nocap,393,537.0,-402.6,-0.7496461824953445,-0.8530808207089278,-0.6366166757632612,-0.515863453815261,0.08433734939759036,-0.9517708333333333,0.020833333333333332,730,0.7415565345080763
2025,sharp,new_w50_cap800,381,525.0,-231.2,-0.4403190476190476,-0.6518422530375569,-0.21596993269313217,-0.3253164556962025,0.1308016877637131,-0.5349565972222222,0.06944444444444445,500,0.49177877428998507
2025,sharp,new_w50_cap500,355,499.0,-101.2,-0.202814629258517,-0.5777377954682325,0.299501842687747,-0.33791469194312795,0.16587677725118483,-0.10383506944444447,0.10416666666666667,340,0.0
2025,sharp,new_w50_cap400,351,495.0,-76.4,-0.15428484848484847,-0.421620140865111,0.16501345480924345,-0.33260869565217394,0.18840579710144928,-0.026114583333333313,0.1388888888888889,260,0.0
2025,sharp,new_w50_cap300,335,479.0,23.5,0.04900782881002091,-0.26918489593259987,0.3735317214036908,-0.3081151832460733,0.225130890052356,0.28584982638888906,0.2569444444444444,215,0.0
2025,sharp,new_w100_cap500,354,498.0,-179.1,-0.35973142570281125,-0.6966082739726028,0.06177120765832082,-0.4323809523809524,0.12857142857142856,-0.3067578125,0.09027777777777778,370,0.0
2025,sharp,new_w0_cap500,373,509.0,40.4,0.07933632121807466,-0.22933826337524654,0.39806069436871555,0.01751054852320673,0.2911392405063291,0.13320657169117645,0.20588235294117646,260,0.0
